" ","VGCPastes Repository (Champions M-A Featured Teams!)","","","","","","","","","","","","","","","","","","","","","","326","","","","","Total Creator Count: ","243","","","Teams with Rentals: ","169","","","","","Teams included here:
International/Regional: Day 2
Local: Top 4
Special Online Tour: Top Cut","","Ladder: Top 300 Champions Tier (End of season), Top 100 Peak
Online Tour (200+ Players): Top 16
Online Tour (100+ Players): Top 8
Online Tour: Top 4
","","","","","",""
"PC774","In Person Event","Yap De Kern's Malaysia MBL 2026 Top 8 Team","","Yap De Kern","","","","Dragoninite","","","Scizorite","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Chople Berry","","https://pokepast.es/5ebc21c25ece6c1a","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","5th","https://x.com/DK2428","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Dragonite-Mega","Scizor-Mega","Basculegion","Pelipper","Sneasler","Archaludon","","",""
"PC773","In Person Event","Zen Soo's Malaysia MBL 2026 Top 8 Team","","Zen Soo","","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/89874474a8497c60","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","6th","https://x.com/ZenSoo1996","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Charizard","Basculegion","Aerodactyl","Kingambit","Sylveon","Garchomp","","",""
"PC772","In Person Event","Brandon Chia's Malaysia MBL 2026 Top 8 Team","","Brandon Chia","","","","Gengarite","","","Chople Berry","","","Sitrus Berry","","","Spell Tag","","","Focus Sash","","","Choice Scarf","","https://pokepast.es/53cb2a5b80f371d2","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","7th","https://x.com/ChiaZhengqi","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Gengar-Mega","Incineroar","Rotom-Wash","Aegislash","Ninetales-Alola","Garchomp","","",""
"PC771","In Person Event","Nashran Mirza's Malaysia MBL 2026 Top 8 Team","","Nashran Mirza","","","","Gardevoirite","","I","","","","Leftovers","","","Focus Sash","","","Black Glasses","","","Haban Berry","","https://pokepast.es/1d099b0c9536bca4","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","8th","No Tweet","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Gardevoir-Mega","Talonflame","Rotom-Wash","Zoroark-Hisui","Kingambit","Garchomp","","",""
"PC770","In Person Event","Lim Boon Hong's Malaysia MBL 2026 Top 16 Team","","Lim Boon Hong","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","White Herb","","","Chople Berry","","","Choice Scarf","","https://pokepast.es/333dc97e13bcda20","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","9th","No Tweet","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Floette-Eternal-Mega","Charizard","Aerodactyl","Sneasler","Kingambit","Garchomp","","",""
"PC769","In Person Event","Hakim Aminullah's Malaysia MBL 2026 Top 16 Team","","Hakim Aminullah","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Dragon Fang","","https://pokepast.es/29e8b4a44442e405","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","10th","https://x.com/haki_am","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Floette-Eternal-Mega","Charizard","Basculegion","Aerodactyl","Kingambit","Garchomp","","",""
"PC768","In Person Event","Wong Chi Khei's Malaysia MBL 2026 Top 16 Team","","Wong Chi Khei","","","","Floettite","","","Froslassite","","","Sitrus Berry","","","Focus Sash","","","Chople Berry","","","Haban Berry","","https://pokepast.es/8a484532b03229d5","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","11th","https://x.com/Keith9SCos","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Floette-Eternal-Mega","Froslass-Mega","Basculegion","Sneasler","Kingambit","Garchomp","","",""
"PC767","In Person Event","Heng Kai Xiang's Malaysia MBL 2026 Top 16 Team","","Heng Kai Xiang","","","","Blastoisinite","","","Charcoal","","","Black Belt","","","Focus Sash","","","Black Glasses","","","White Herb","","https://pokepast.es/bad35f9e3368f329","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","12th","No Tweet","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Blastoise-Mega","Torkoal","Conkeldurr","Farigiraf","Kingambit","Drampa","","",""
"PC766","In Person Event","Kevin Ngim's Malaysia MBL 2026 Top 16 Team","","Kevin Ngim","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Dragon Fang","","https://pokepast.es/64951e1f95292cb3","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","13th","No Tweet","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Floette-Eternal-Mega","Charizard","Basculegion","Aerodactyl","Kingambit","Garchomp","","",""
"PC765","In Person Event","Rasydan Naim's Malaysia MBL 2026 Top 16 Team","","Rasydan Naim","","","","Delphoxite","","","Floettite","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/90b553644413d70d","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","14th","https://x.com/HyeeRasydan","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Delphox-Mega","Floette-Eternal-Mega","Basculegion","Aerodactyl","Maushold-Four","Garchomp","","",""
"PC764","In Person Event","Ng Way Xuan's Malaysia MBL 2026 Top 16 Team","","Ng Way Xuan","","","","Meganiumite","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Colbur Berry","","","Black Glasses","","https://pokepast.es/0367be4a3fe1eaf6","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","15th","No Tweet","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Meganium-Mega","Basculegion","Aerodactyl","Sneasler","Farigiraf","Kingambit","","",""
"PC763","In Person Event","Ong Ju-Ee's Malaysia MBL 2026 Top 16 Team","","Ong Ju-Ee","","","","Scovillainite","","","Tyranitarite","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Leftovers","","https://pokepast.es/a0ff2b98cf414319","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","16th","https://x.com/JE1850383583740","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Scovillain-Mega","Tyranitar-Mega","Basculegion","Excadrill","Sneasler","Corviknight","","",""
"PC977","Local Tour","lix12_poke's Teru Challenge Champions #2 Top 4 Team","🥉","lix12_poke","","","","Aerodactylite","","","Focus Sash","","","White Herb","","","Black Glasses","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/973af65000bfc8cb","Yes","Extracted","✔","7F72JKUU7P","30 May 2026","Teru Challenge Champions #2 Online","Top 4","https://x.com/lix12_poke/status/2060666359940587766?s=46","-","-","lix12_poke","","Aerodactyl-Mega","Basculegion","Sneasler","Kingambit","Sylveon","Garchomp","","",""
"PC976","Local Tour","daikousin's Teru Challenge Champions #2 Top 8 Team","","daikousin","","","","Floettite","","","Sitrus Berry","","","Leftovers","","","Focus Sash","","","Chople Berry","","","Lum Berry","","https://pokepast.es/b95be97278181a6e","Yes","Extracted","✔","BUJFGM674S","30 May 2026","Teru Challenge Champions #2 Online","Top 8","https://x.com/daikousin45/status/2060677797006483611?s=20","-","-","daikousin45","","Floette-Eternal-Mega","Incineroar","Palafin","Sneasler","Kingambit","Dragonite","","",""
"PC975","Local Tour","migawari's Teru Challenge Champions #2 Top 8 Team","","migawari","","","","Blastoisinite","","","Mental Herb","","","Sitrus Berry","","","Focus Sash","","","Leftovers","","","Roseli Berry","","https://pokepast.es/e7f47d0cf850d405","Yes","Extracted","✔","L1XWJTAXDS","30 May 2026","Teru Challenge Champions #2 Online","Top 8","https://x.com/migawari3/status/2060677021668426046?s=46","-","-","migawari3","","Blastoise-Mega","Talonflame","Basculegion","Gengar","Archaludon","Garchomp","","",""
"PC922","Local Tour","MichaelderBeste's Milan Spring Invitational Champion Team","🥇","Michael Kelsch","","","","Aerodactylite","","","Froslassite","","","Sitrus Berry","","","White Herb","","","Chople Berry","","","Focus Sash","","https://pokepast.es/243344229dad70f9","Yes","Owner's","X","None","26 May 2026","Milan Spring Invitational","Champion","https://x.com/michaelderbeste/status/2059289555723849970?s=46","-","-","michaelderbeste","","Aerodactyl-Mega","Froslass-Mega","Rotom-Wash","Sneasler","Kingambit","Garchomp","","",""
"PC433","Local Tour","megamaphoo's Local Cup Top 4 Team","🥉","megamaphoo","","","","Charizardite Y","","","Focus Sash","","","White Herb","","","Choice Scarf","","","Black Glasses","","","Dragon Fang","","https://pokepast.es/8f7b15ea8000b72d","Yes","Extracted","✔","07M6X4PXSD","20 Apr 2026","Local Cup","Top 4","https://x.com/megamaphoo/status/2046453114434457665?s=46","-","-","megamaphoo","","Charizard","Aerodactyl","Sneasler","Zoroark-Hisui","Kingambit","Garchomp","","",""
"PC427","Local Tour","Brian's Local Cup Champion Team","🥇","Brian Youm","","","","Charizardite Y","","","Sitrus Berry","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Roseli Berry","","https://pokepast.es/7ab2b2920d92280f","Yes","Extracted","✔","5TA3T1T0D4","20 Apr 2026","Local Cup","Champion","https://x.com/playmakeryoum/status/2046255640108994614?s=46","-","-","playmakeryoum","","Charizard","Incineroar","Basculegion","Venusaur","Sneasler","Garchomp","","",""
"PC394","Local Tour","pneumaticssb's Local Cup Runner Up Team","🥈","pneumaticssb","","","","Delphoxite","","","Choice Scarf","","","Sitrus Berry","","","Focus Sash","","","Chople Berry","","","Soft Sand","","https://pokepast.es/cc2fb7ffc8d86f42","Yes","Extracted","✔","GHGG0NK65E","19 Apr 2026","Local Cup","Runner Up","https://x.com/pneumaticssb/status/2046019979485528466?s=46","-","-","pneumaticssb","","Delphox-Mega","Basculegion","Rotom-Wash","Sneasler","Kingambit","Garchomp","","",""
"PC762","Global/Grand Challenge","sepal's PJCS Qualifiers 4th Place Team","🥉","sepal","","","","Floettite","","","Charizardite Y","","","Mystic Water","","","Chople Berry","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/282650cace0320d6","Yes","Extracted","✔","29260DBM0K","11 May 2026","PJCS Qualifiers","4th","https://x.com/sepal_calyx/status/2053776799486919057?s=46","https://sepalpoke.hatenablog.com/entry//2026/05/11/190000","-","sepal_calyx","","Floette-Eternal-Mega","Charizard","Basculegion","Maushold","Sylveon","Garchomp","","",""
"PC761","Global/Grand Challenge","UB_SLOW's PJCS Qualifiers 13th Place Team","","Kaito Arii","","","","Dragoninite","","","Venusaurite","","","Mystic Water","","","Roseli Berry","","","Sitrus Berry","","","Leftovers","","https://pokepast.es/c7029c8bfeb4695f","Yes","Extracted","✔","28WKT7B1VW","10 May 2026","PJCS Qualifiers","13th","https://x.com/ub_slow/status/2053434929820955124?s=46","-","-","ub_slow","","Dragonite-Mega","Venusaur-Mega","Basculegion","Sableye","Sylveon","Archaludon","","",""
"PC760","Global/Grand Challenge","kim0227poke's PJCS Qualifiers 14th Place Team","","kim0227poke","","","","Blastoisinite","","","Kangaskhanite","","","Charcoal","","","Focus Sash","","","Choice Scarf","","","Sitrus Berry","","https://pokepast.es/9be1a9e604e233d6","Yes","Extracted","✔","6AYUNQ2PJK","11 May 2026","PJCS Qualifiers","14th","https://x.com/kim0227poke/status/2053730066887229938?s=46","https://note.com/kimupoke05/n/nb1b030e71e04","-","kim0227poke","","Blastoise-Mega","Kangaskhan-Mega","Torkoal","Basculegion","Vivillon","Farigiraf","","",""
"PC759","Global/Grand Challenge","Ruuto's PJCS Qualifiers 25th Place Team","","Ruuto","","","","Skarmorite","","","Charizardite Y","","","Kebia Berry","","","Focus Sash","","","Never-Melt Ice","","","Choice Scarf","","https://pokepast.es/66837229f2d7215e","Yes","Extracted","✔","1TVQ417Q5J","10 May 2026","PJCS Qualifiers","25th","https://x.com/tbhla7130/status/2053387686669644102?s=20","-","-","tbhla7130","","Skarmory-Mega","Charizard","Primarina","Whimsicott","Ninetales-Alola","Garchomp","","",""
"PC758","Global/Grand Challenge","24kun315's PJCS Qualifiers 32nd Place Team","","24kun315","","","","Skarmorite","","","Charizardite Y","","","Focus Sash","","","Fairy Feather","","","Sitrus Berry","","","Choice Scarf","","https://pokepast.es/133c37ea5e470595","Yes","Extracted","✔","2RK2R1MDWV","10 May 2026","PJCS Qualifiers","32nd","https://x.com/24kun315/status/2053460599720566963?s=46","https://nishikun315.hatenablog.com/entry/2026/05/10/211053","-","24kun315","","Skarmory-Mega","Charizard","Sneasler","Sylveon","Garchomp","Hydreigon","","",""
"PC757","Global/Grand Challenge","Yuu's PJCS Qualifiers 42nd Place Team","","Yuu","","","","Aerodactylite","","","Lopunnite","","","Sitrus Berry","","","Choice Scarf","","","White Herb","","","Focus Sash","","https://pokepast.es/a4d43826dca6d47e","Yes","Extracted","✔","4TN82H8Y2N","11 May 2026","PJCS Qualifiers","42nd","https://x.com/yu_yan_poke/status/2053819261513318651?s=46","https://note.com/yu_yan_poke/n/nf282a1277dcf","-","yu_yan_poke","","Aerodactyl-Mega","Lopunny-Mega","Basculegion","Meowscarada","Sneasler","Vivillon","","",""
"PC756","Global/Grand Challenge","pamela_emuritto's PJCS Qualifiers 52nd Place Team","","pamela_emuritto","","","","Blastoisinite","","","Passho Berry","","","Sitrus Berry","","","Focus Sash","","","Kasib Berry","","","Leftovers","","https://pokepast.es/4a7e9a02075a768e","Yes","Extracted","X","None","11 May 2026","PJCS Qualifiers","52nd","https://x.com/pamela_emuritto/status/2053708512510054809?s=46","-","-","pamela_emuritto","","Blastoise-Mega","Incineroar","Sneasler","Maushold-Four","Sinistcha","Kommo-o","","",""
"PC687","Global/Grand Challenge","FedeCampoVGC's Global Challenge I 2026 1st Place Team","🥇","Federico Camporesi","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/75575fb800e3f5cb","Yes","Extracted","✔","AV7NTVGB10","5 May 2026","Global Challenge I 2026","1st","https://x.com/fedecampovgc/status/2051587948617904494?s=46","-","-","fedecampovgc","","Aerodactyl-Mega","Charizard","Basculegion","Ariados","Sylveon","Garchomp","","",""
"PC686","Global/Grand Challenge","TTTvgc's Global Challenge I 2026 2nd Place Team","🥈","Daniel Thorpe","","","","Floettite","","","Sitrus Berry","","","Roseli Berry","","","Colbur Berry","","","Kasib Berry","","","Leftovers","","https://pokepast.es/2513e07443628db5","Yes","Extracted","✔","U9FWYNSAV8","5 May 2026","Global Challenge I 2026","2nd","https://x.com/TTTvgc/status/2051631668767724031/photo/1","-","-","TTTvgc","","Floette-Eternal-Mega","Politoed","Sableye","Espathra","Sinistcha","Archaludon","","",""
"PC685","Global/Grand Challenge","Wolfey's Global Challenge I 2026 6th Place Team","","Wolfe Glick","","","","Gengarite","","","Hawluchanite","","","Passho Berry","","","Sitrus Berry","","","Leftovers","","","Kasib Berry","","https://pokepast.es/8367eda2a6d666dc","Yes","Extracted","✔","WKDV1YJ5G1","5 May 2026","Global Challenge I 2026","6th","https://x.com/wolfeyglick/status/2051358099542360250?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q","https://youtu.be/bNx1LsyCJ4Q?si=eiai6SSqnC_3R3jD","-","wolfeyglick","","Gengar-Mega","Hawlucha-Mega","Incineroar","Politoed","Snorlax","Sinistcha","","",""
"PC684","Global/Grand Challenge","marcofiero's Global Challenge I 2026 7th Place Team","","Marco Silva","","","","Charizardite Y","","","Chople Berry","","","Sitrus Berry","","","Focus Sash","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/1205c758da04ffc1","No","Extracted","X","None","5 May 2026","Global Challenge I 2026","7th","https://x.com/marc0fier0/status/2051674224092225665","-","-","marc0fier0","","Charizard","Incineroar","Farigiraf","Aegislash","Sylveon","Garchomp","","",""
"PC683","Global/Grand Challenge","StrangerDanger's Global Challenge I 2026 10th Place Team","","StrangerDanger","","","","Kangaskhanite","","","Leftovers","","","Focus Sash","","","Sitrus Berry","","","Choice Scarf","","","Haban Berry","","https://pokepast.es/e01b2d4d0091f1db","Yes","Extracted","✔","B1J5Y59XUX","4 May 2026","Global Challenge I 2026","10th","https://www.youtube.com/watch?v=22KzDsVDCXY","-","-","Manual Entry","","Kangaskhan-Mega","Ceruledge","Starmie","Sableye","Lucario","Hydreigon","","",""
"PC682","Global/Grand Challenge","LenVGC's Global Challenge I 2026 13th Place Team","","Alex Soto","","","","Gengarite","","","Passho Berry","","","Sitrus Berry","","","Kasib Berry","","","Shuca Berry","","","Leftovers","","https://pokepast.es/f3b552bb48008091","Yes","Extracted","✔","7NVYM331JA","3 May 2026","Global Challenge I 2026","13th","https://x.com/lenvgc/status/2051618802882732524?s=46","-","-","lenvgc","","Gengar-Mega","Incineroar","Politoed","Sinistcha","Tinkaton","Kommo-o","","",""
"PC681","Global/Grand Challenge","b3rtani's Global Challenge I 2026 1st Place Team","","berta2470","","","","Charizardite Y","","","Meganiumite","","","Sitrus Berry","","","Focus Sash","","","Colbur Berry","","","Chople Berry","","https://pokepast.es/2a88e5536f0448cd","Yes","Owner's","✔","17LQ4WQDGK","5 May 2026","Global Challenge I 2026","15th","Discord Submission","-","-","Manual Entry","","Charizard-Mega-Y","Meganium-Mega","Basculegion","Aerodactyl","Farigiraf","Kingambit","","",""
"PC680","Global/Grand Challenge","Seawolfmikes' Global Challenge I 2026 33rd Place Team","","Seawolfmikes","","","","Floettite","","","White Herb","","","Mystic Water","","","Focus Sash","","","Colbur Berry","","","Choice Scarf","","https://pokepast.es/d666300c87e85e25","Yes","Owner's","✔","EQGU4J5J0F","24 May 2026","Global Challenge I 2026","33rd","https://x.com/seawolfmikes/status/2058217284322152492?s=46","https://vgcwithhats.ca/2026/05/23/the-wet-flower-a-global-challenge-team-report/","-","seawolfmikes","","Floette-Mega","Incineroar","Basculegion","Pelipper","Farigiraf","Archaludon","","",""
"PC679","Global/Grand Challenge","kera__99's Global Challenge I 2026 34th Place Team","","kera__99","","","","Froslassite","","","Scovillainite","","","Choice Scarf","","","White Herb","","","Black Glasses","","","Sitrus Berry","","https://pokepast.es/9a8261780a230835","Yes","Extracted","✔","A83VJ2BH0G","7 May 2026","Global Challenge I 2026","34th","https://x.com/kera__99/status/2052392806438555709?s=46","-","-","kera__99","","Froslass-Mega","Scovillain-Mega","Basculegion","Sneasler","Kingambit","Garchomp","","",""
"PC678","Global/Grand Challenge","didivgc's Global Challenge I 2026 35th Place Team","","didivgc","","","","Scizorite","","","Tyranitarite","","","Sitrus Berry","","","Choice Scarf","","","Kasib Berry","","","Leftovers","","https://pokepast.es/23fc6b56c76c2e8a","Yes","Extracted","✔","EYTXNC1GMG","5 May 2026","Global Challenge I 2026","35th","https://x.com/didivgc/status/2051710203205128640?s=46","-","-","didivgc","","Scizor-Mega","Tyranitar-Mega","Incineroar","Basculegion","Sinistcha","Kommo-o","","",""
"PC677","Global/Grand Challenge","swampvgc's Global Challenge I 2026 49th Place Team","","swampvgc","","","","Delphoxite","","","Floettite","","","White Herb","","","Focus Sash","","","Sitrus Berry","","","Black Glasses","","https://pokepast.es/9c7b5473e8f669a8","Yes","Owner's","✔","0CLQYN32QT","5 May 2026","Global Challenge I 2026","49th","https://x.com/swampvgc/status/2051497867202756975?s=46","-","-","swampvgc","","Delphox-Mega","Floette-Eternal-Mega","Sneasler","Maushold","Espathra","Kingambit","","",""
"PC676","Global/Grand Challenge","pikeon202's Global Challenge I 2026 53rd Place Team","","pikeon202","","","","Aerodactylite","","","Charizardite Y","","","Leftovers","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/121d5a71ecaea08d","Yes","Extracted","✔","YBD8YQQFYE","5 May 2026","Global Challenge I 2026","53rd","https://x.com/pikeon202/status/2051575936382874047?s=46","-","-","pikeon202","","Aerodactyl-Mega","Charizard","Milotic","Kingambit","Sylveon","Garchomp","","",""
"PC849","Ladder","daikousin's Showdown Ladder Peak 1st Place Team","🥇","daikousin","","","","Floettite","","","Charcoal","","","Focus Sash","","","Choice Scarf","","","Leftovers","","","Sitrus Berry","","https://pokepast.es/af0461ec8f8a6c5b","Yes","Extracted","X","None","17 May 2026","Showdown Ladder","Peak 1st","https://x.com/daikousin45/status/2055679944890675246?s=46","-","-","daikousin45","","Floette-Eternal-Mega","Torkoal","Basculegion","Kleavor","Snorlax","Farigiraf","","",""
"PC848","Ladder","HiScribble's Showdown Ladder Peak 2nd Place Team","","HiScribble","","","","Lopunnite","","","Focus Sash","","","Choice Scarf","","","Colbur Berry","","","Chople Berry","","","Never-Melt Ice","","https://pokepast.es/1ab957a14ec2d196","Yes","Owner's","✔","KMTHYJNLTJ","16 May 2026","Showdown Ladder","Peak 2nd","https://x.com/hiscribble/status/2055553436746174861?s=46","-","-","hiscribble","","Lopunny-Mega","Ceruledge","Basculegion","Farigiraf","Kingambit","Ninetales-Alola","","",""
"PC847","Ladder","Suica's Ranked Season M-1 1st Place Team","🥇","Joji Kaieda","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/e96f3477c85be82d","Yes","Extracted","✔","H8K33G9F62","16 May 2026","Ranked Season M-1","1st","https://x.com/mihono_suica/status/2055631839856050455?s=46","-","-","mihono_suica","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC846","Ladder","sousuke0529's Ranked Season M-1 2nd Place Team","🥈","sousuke0529","","","","Aerodactylite","","","Floettite","","","Charcoal","","","Fairy Feather","","","Sitrus Berry","","","Focus Sash","","https://pokepast.es/bb6745ae46cf1ee9","Yes","Extracted","✔","2RL00A6UC8","13 May 2026","Ranked Season M-1","2nd","https://x.com/sousuke0529/status/2054486671228649888?s=46","-","-","sousuke0529","","Aerodactyl-Mega","Floette-Eternal-Mega","Typhlosion-Hisui","Whimsicott","Farigiraf","Kingambit","","",""
"PC845","Ladder","marcofiero's Ranked Season M-1 5th Place Team","🥉","Marco Silva","","","","Charizardite Y","","","Charcoal","","","Focus Sash","","","Sitrus Berry","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/b2bda5deb39e25ba","No","Extracted","X","None","12 May 2026","Ranked Season M-1","3rd","https://x.com/marc0fier0/status/2054383768987685278?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q","-","-","marc0fier0","","Charizard","Incineroar","Aerodactyl","Farigiraf","Sylveon","Garchomp","","",""
"PC844","Ladder","Chandy's Ranked Season M-1 4th Place Team","🥉","Kohei Sakurai","","","","Aerodactylite","","","Scovillainite","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/f12dbef63a0acee3","Yes","Extracted","✔","FD13P5H0WE","13 May 2026","Ranked Season M-1","4th","https://x.com/chandyholmes609/status/2054495071576457564?s=46","https://liberty-note.com/2026/05/20/double-m1-4th/","-","chandyholmes609","","Aerodactyl-Mega","Scovillain-Mega","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC843","Ladder","yura's Ranked Season M-1 7th Place Team","","yura","","","","Froslassite","","","Focus Sash","","","Leftovers","","","White Herb","","","Sitrus Berry","","","Chople Berry","","https://pokepast.es/ff0f6d9d49a3e703","Yes","Extracted","✔","139UJAV3LC","13 May 2026","Ranked Season M-1","7th","https://x.com/yurayura_pon/status/2054540224446001506?s=46","-","-","yurayura_pon","","Froslass-Mega","Basculegion","Milotic","Sneasler","Meowstic","Kingambit","","",""
"PC842","Ladder","online's Ranked Season M-1 11th Place Team","","online","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/df082855f94364e5","Yes","Extracted","✔","KKV7FNBFUT","13 May 2026","Ranked Season M-1","11th","https://x.com/online_poke/status/2054488152627368191?s=46","https://pokesol.app/u/online_poke/articles/b65bbc51aa8996c7","-","online_poke","","Floette-Eternal-Mega","Charizard","Basculegion","Glimmora","Whimsicott","Garchomp","","",""
"PC841","Ladder","tsltang0508's Ranked Season M-1 15th Place Team","","Tang Shiliang","","","","Charizardite Y","","","Dragoninite","","","Mystic Water","","","White Herb","","","Roseli Berry","","","Leftovers","","https://pokepast.es/5925ecf33e3b8426","Yes","Owner's","X","None","23 May 2026","Ranked Season M-1","15th","https://x.com/tsltang0508/status/2057905171615699200?s=46","-","-","tsltang0508","","Charizard-Mega-Y","Dragonite-Mega","Basculegion","Sneasler","Sableye","Archaludon","","",""
"PC840","Ladder","KURO's Ranked Season M-1 19th Place Team","","Masayoshi Kuroo","","","","Dragoninite","","","Lopunnite","","I","","","","Focus Sash","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/76f6a63a7c1c2567","Yes","Extracted","✔","ERSSD75WUU","15 May 2026","Ranked Season M-1","19th","https://x.com/f_kc56/status/2054469245967495663","https://www.youtube.com/watch?v=_TpKzRWJqu8","-","f_kc56","","Dragonite-Mega","Lopunny-Mega","Talonflame","Basculegion","Sylveon","Archaludon","","",""
"PC839","Ladder","alcana's Ranked Season M-1 20th Place Team","","Kiwamu Endo","","","","Dragoninite","","","Charizardite Y","","","Sitrus Berry","","","Focus Sash","","","Black Glasses","","","Roseli Berry","","https://pokepast.es/40a2cccadc6af2a9","Yes","Extracted","✔","FCRHX4W3Q7","14 May 2026","Ranked Season M-1","20th","https://youtu.be/NLwBx16k3vE?si=2pxnKfeKGkrLFzRs","https://youtu.be/_0m0UubyppA?si=YepUzO7NLYZ3j_vC","-","alcana_10906","","Dragonite-Mega","Charizard","Basculegion","Sneasler","Kingambit","Garchomp","","",""
"PC838","Ladder","mumemo's Ranked Season M-1 22nd Place Team","","mumemo","","","","Floettite","","","Mystic Water","","","Focus Sash","","","Leftovers","","","Fairy Feather","","","Mental Herb","","https://pokepast.es/18251affe63924f2","Yes","Extracted","✔","JN8605XC3E","13 May 2026","Ranked Season M-1","22nd","https://x.com/mumemo168/status/2054540029733843232?s=46","https://note.com/ripe_emu586/n/nb1ee5c4b8537","-","mumemo168","","Floette-Eternal-Mega","Basculegion","Glimmora","Snorlax","Whimsicott","Farigiraf","","",""
"PC837","Ladder","Kae-ru's Ranked Season M-1 24th Place Team","","Hirofumi Kimura","","","","Gardevoirite","","","Chople Berry","","","Choice Scarf","","","Sitrus Berry","","","Focus Sash","","","Leftovers","","https://pokepast.es/830570a94e7c33cd","Yes","Owner's","✔","621QVHDKV6","13 May 2026","Ranked Season M-1","24th","https://x.com/hirosipoke/status/2054542001652285923?s=46","https://iq-3.hatenablog.com/entry/2026/05/13/190000","-","hirosipoke","","Gardevoir-Mega","Incineroar","Basculegion","Pelipper","Maushold-Four","Archaludon","","",""
"PC836","Ladder","teru's Ranked Season M-1 27th Place Team","","Teru Nakajima","","","","Kangaskhanite","","","Charizardite Y","","","Mystic Water","","","Sitrus Berry","","","Chople Berry","","","Leftovers","","https://pokepast.es/b773d4c0717c6a75","Yes","Extracted","✔","HPU8LBBR8D","30 May 2026","Ranked Season M-1","27th","https://x.com/teru_gift/status/2060616711200804898?s=46","https://note.com/teru_gift/n/nd2f7d00e98c8?sub_rt=share_pb","-","teru_gift","","Kangaskhan-Mega","Charizard","Primarina","Farigiraf","Kingambit","Archaludon","","",""
"PC835","Ladder","hiroking's Ranked Season M-1 32nd Place Team","","Yuta Hiroki","","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Chople Berry","","","White Herb","","","Choice Scarf","","https://pokepast.es/89e9e34cfb108c92","Yes","Extracted","✔","QF7L8DR6BT","16 May 2026","Ranked Season M-1","32nd","https://x.com/hirokingvgc/status/2055646478262317284?s=46","https://hiroking0634.hatenablog.com/entry/PJCS2026_CharizardY","-","hirokingvgc","","Charizard","Basculegion","Whimsicott","Kingambit","Archaludon","Garchomp","","",""
